# Walter Croncat journalism pipeline — seen story_ids
# Format: <story_id>\t<first_seen_utc_iso>\t<headline_seed>
# Used by src/main.post_journalism_cycle to avoid re-reporting the same
# story across cycles. Committed by .github/workflows/journalism-dry-run.yml
# after each successful dry-run so state persists across runs.
#
# Iteration 13 one-off migration: backfilled headlines for 9 legacy
# 2-column entries (runs 17-25) using the loop log as source of truth.
# Before this migration, semantic dedup only worked for new entries
# and missed same-event-different-headline matches against legacy
# entries — surfaced by run 29 when the pipeline selected
# "Gilgo Beach suspect pleads guilty..." even though run 17 had
# already selected "Rex Heuermann Pleads Guilty to Gilgo Beach Serial
# Killings" (same event, same person). With the backfilled headlines,
# proper-noun overlap on {gilgo, beach} now correctly dedups them.

2026-05-02-germany-says-us-troop-37bdf9f424	2026-05-02T17:48:35.606131+00:00	Germany says US troop withdrawal 'foreseeable' as Nato seeks clarification - BBC
2026-05-02-pentagon-to-pull-5-213a66f0fe	2026-05-02T22:48:39.348941+00:00	Pentagon to pull 5,000 troops from Germany, alarming Republican lawmakers - The Washington Post
2026-05-03-trump-says-he-is-9c7b6ecae0	2026-05-03T12:51:41.646214+00:00	Trump says he is reviewing Iran's new offer but doubts it is 'acceptable' - NBC News
2026-05-03-how-redistricting-and-the-bc2e02b048	2026-05-03T17:49:06.298085+00:00	How redistricting and the Supreme Court have cut voters out of US House races - Reuters
2026-05-03-iran-says-us-has-acd27cbefc	2026-05-03T22:47:17.889850+00:00	Iran says US has responded to its latest peace proposal - BBC
2026-05-04-rudy-giuliani-in-critical-9e0eb86845	2026-05-04T13:06:40.295479+00:00	Rudy Giuliani in critical condition in hospital - BBC
2026-05-04-supreme-court-gives-abortion-00a10c941f	2026-05-04T18:03:31.456440+00:00	Supreme Court gives abortion pill mifepristone a 1-week reprieve from a major change - NPR
2026-05-05-abortion-pill-rulings-cause-ce54a688f2	2026-05-05T12:59:55.664237+00:00	Abortion pill rulings cause whiplash and confusion - Axios
2026-05-09-they-graduate-to-six-9f443e55c4	2026-05-09T17:49:54.926220+00:00	They graduate to six figure salaries, and grueling work - NPR	https://www.npr.org/2026/05/09/nx-s1-5789051/merchant-marine-sealift-jobs|https://www.nytimes.com/2026/05/09/business/retirement-home-equity-selling-your-house.html|https://www.nbcnews.com/politics/2026-election/republicans-redistricting-headwinds-democrats-midterm-house-majority-rcna344248|https://www.nytimes.com/2026/05/09/business/dealbook/ai-notetakers-legal-risk.html|https://www.theguardian.com/world/2026/may/09/tensions-emerge-bejamin-netanyahu-donald-trump-alliance
2026-05-09-putin-says-he-thinks-99f6e292ac	2026-05-09T22:47:25.088580+00:00	Putin says he thinks the Ukraine conflict is coming to an end - CNBC	https://www.cnbc.com/2026/05/09/putin-says-he-thinks-the-ukraine-conflict-is-coming-to-an-end.html|https://www.reuters.com/world/europe/putin-says-he-thinks-ukraine-conflict-is-coming-an-end-2026-05-09|https://www.nytimes.com/2026/05/09/world/europe/russia-victory-day-parade.html|https://www.bloomberg.com/news/articles/2026-05-09/putin-says-ukraine-ceasefire-prompted-by-kyiv-security-warnings|https://www.npr.org/2026/05/09/nx-s1-5816478/trump-russia-ukraine-ceasefire
2026-05-09-venice-biennale-opens-without-e208fa6d98	2026-05-10T12:51:50.070116+00:00	Venice Biennale opens without a jury amid strife over Russian and Israeli participation - AP News	https://apnews.com/article/italy-venice-biennale-protests-israel-russia-760228a0f311f8fe8f8dd3487e57cc70|https://www.npr.org/2026/05/09/nx-s1-5817005/protests-and-boycotts-rock-prestigious-venice-biennale|https://www.independent.co.uk/news/world/europe/venice-biennale-art-jury-resigns-israel-russia-b2973486.html|https://www.luxtimes.lu/culture/jury-quits-venice-biennale-over-russia-row-as-luxembourg-backs-protests/151202983.html|https://www.themoscowtimes.com/2026/05/08/director-alexander-sokurov-expresses-sympathy-for-exiled-artists-after-venice-event-canceled-a92720
2026-05-10-french-passenger-of-hantavirus-933551f1a2	2026-05-10T17:48:39.834772+00:00	French passenger of hantavirus cruise ship starts showing symptoms on evacuation flight, prime minister says - CBS News	https://www.cbsnews.com/news/cruise-ship-stricken-by-hantavirus-reaches-canary-islands|https://www.reuters.com/world/europe/one-repatriated-french-passengers-hantavirus-hit-ship-has-symptoms-pm-says-2026-05-10|https://www.cnbc.com/2026/05/07/french-prosecutors-probe-of-elon-musk-x-now-a-criminal-investigation.html|https://www.reuters.com/sports/ducatis-marquez-undergoes-successful-double-surgery-after-french-gp-crash-2026-05-10|https://www.reuters.com/sports/tennis/sabalenka-exits-rome-with-injury-concern-ahead-french-open-2026-05-10|https://www.thetimes.com/comment/columnists/article/jeremy-clarkson-kristin-scott-thomas-i-beg-to-differ-jqdvkcvrs
2026-05-11-as-trump-heads-to-d3f7a0f519	2026-05-11T13:33:16.557454+00:00	As Trump Heads to Beijing, China Is ‘Locked and Loaded’ for a Fight - The New York Times	https://www.nytimes.com/2026/05/11/business/trump-xi-economic-warfare.html|https://www.politico.com/news/2026/05/08/china-lessons-iran-trump-xi-00912539|https://www.washingtonpost.com/world/2026/05/11/trump-xi-china-beijing-visit|https://www.theguardian.com/news/ng-interactive/2026/may/10/tehran-taiwan-trade-donald-trump-xi-jinping-us-china-summit|https://m.economictimes.com/markets/us-stocks/news/global-markets-this-week-diplomacy-oil-shock-growth-fears/trump-heads-to-beijing/slideshow/131005148.cms
2026-05-11-trump-wants-to-suspend-cdbd7499c8	2026-05-11T18:10:42.092833+00:00	Trump wants to suspend the federal gas tax as prices soar amid war with Iran - NPR	https://www.npr.org/2026/05/11/nx-s1-5818446/trump-gas-tax|https://www.reuters.com/world/china/trump-rejects-irans-response-us-peace-proposal-unacceptable-2026-05-11|https://www.aljazeera.com/news/liveblog/2026/5/11/iran-war-live-trump-slams-tehrans-reply-israel-kills-2-medics-in-lebanon|https://www.cnbc.com/2026/05/11/trump-congress-gop-gas-tax-iran-war.html|https://www.nytimes.com/live/2026/05/11/world/iran-war-trump-hormuz|https://www.cnn.com/2026/05/11/world/live-news/iran-war-proposal-trump|https://www.washingtonpost.com/opinions/2026/05/11/iran-war-is-trap-trump-built-himself
2026-05-11-virginia-democrats-ask-supreme-b355d28298	2026-05-11T22:50:51.699463+00:00	Virginia Democrats ask Supreme Court to allow use of new congressional map - NBC News	https://www.nbcnews.com/politics/supreme-court/virginia-democrats-ask-justices-allow-use-new-congressional-map-rcna344622|https://www.axios.com/local/richmond/2026/05/11/virginia-supreme-court-redistricting-fallout|https://www.nytimes.com/2026/05/11/us/politics/supreme-court-virginia-redistricting.html|https://www.cnn.com/2026/05/11/politics/virginia-redistricting-us-supreme-court|https://www.cbsnews.com/news/virginia-supreme-court-congressional-map|https://www.usatoday.com/story/news/politics/2026/05/11/virginia-democrats-supreme-court-house-map-redistricting/90030198007|https://www.washingtonpost.com/politics/2026/05/11/virginia-redistricting-referendum-supreme-court-appeal
2026-05-12-consumer-prices-rose-3-1682cd5001	2026-05-12T13:18:54.271665+00:00	Consumer prices rose 3.8% annually in April, the highest since May 2023 - CNBC	https://www.cnbc.com/2026/05/12/cpi-inflation-april-2026-.html|https://www.reuters.com/business/us-consumer-prices-increase-further-april-2026-05-12|https://www.usatoday.com/story/money/economy/2026/05/12/inflation-april-gas-prices-iran-war/89928091007|https://www.reuters.com/business/us-consumer-inflation-expected-have-increased-further-april-amid-iran-war-2026-05-12|https://www.nbcnews.com/news/us-news/april-inflation-report-iready-backlash-morning-rundown-rcna344661|https://www.axios.com/2026/05/12/cpi-april-inflation-iran-trump|https://www.cnbc.com/video/2026/05/12/consumer-prices-rose-3-point-8-percent-annually-in-april-the-highest-since-may-2023.html
2026-05-12-dr-marty-makary-is-225e93933d	2026-05-12T18:14:46.978388+00:00	Dr. Marty Makary is out as FDA commissioner - NBC News	https://www.nbcnews.com/health/health-news/dr-marty-makary-fda-commissioner-rcna344765|https://apnews.com/article/fda-trump-makary-kennedy-vaccines-drugs-ef151784342c48cca3b91a829d615b5e|https://www.politico.com/news/2026/05/12/makary-fda-resign-white-house-00916014|https://www.bloomberg.com/news/articles/2026-05-12/trump-s-fda-commissioner-marty-makary-expected-to-resign|https://www.reuters.com/business/healthcare-pharmaceuticals/fda-commissioner-makary-is-resigning-politico-reports-2026-05-12|https://www.nytimes.com/2026/05/12/us/politics/trump-fires-fda-commissioner-makary.html|https://www.cnn.com/2026/05/12/politics/makary-fda-trump-leave
2026-05-12-u-k-prime-minister-8f31d04fd3	2026-05-12T22:52:10.576866+00:00	U.K. Prime Minister Keir Starmer rejects mounting calls to resign, even from his own party - CBS News	https://www.cbsnews.com/news/uk-keir-starmer-rejects-calls-resign-prime-minister|https://apnews.com/article/starmer-resign-fahnbulleh-politics-britain-1454415a831ae3af31b10dff29d04d13|https://www.aljazeera.com/news/2026/5/12/starmer-to-face-split-cabinet-as-demands-for-his-resignation-mount|https://www.cnbc.com/2026/05/11/uk-pm-starmer-fights-for-his-political-future-in-pivotal-speech.html|https://www.reuters.com/world/uk/uks-starmer-facing-crunch-meeting-calls-grow-him-quit-2026-05-12|https://www.reuters.com/world/uk/starmer-vows-carry-governing-ahead-grand-parliamentary-ceremony-2026-05-12|https://www.cnn.com/2026/05/12/world/live-news/uk-keir-starmer-labour
2026-05-13-how-the-trump-administration-9c1203ea06	2026-05-13T13:20:54.681444+00:00	How the Trump administration has undermined the fight against public corruption - NPR	https://www.npr.org/2026/05/13/g-s1-121485/trump-pardons-public-corruption-justice|https://www.reuters.com/commentary/reuters-open-interest/how-trumps-hand-has-weakened-ahead-xi-summit-8-charts-2026-05-13|https://www.politico.com/news/2026/05/11/trump-xi-taiwan-crisis-00911593|https://www.nytimes.com/2026/05/12/us/politics/trump-reflecting-pool-renovation.html|https://www.nbcnews.com/video/shorts/how-trump-weighs-americans-financial-situations-in-iran-talks-263188037621|https://www.nytimes.com/2026/05/13/business/trump-tariffs-china.html|https://www.nytimes.com/video/us/100000010890442/how-trump-changed-the-way-he-talks-about-china.html
2026-05-13-from-tourist-tax-to-0cca552b30	2026-05-13T18:18:24.104848+00:00	From tourist tax to digital ID: BBC correspondents on the key bills in the King's Speech - BBC	https://www.bbc.com/news/articles/c1j2nr8kgk3o|https://www.bbc.com/news/videos/crepv72x5xqo|https://www.bbc.co.uk/news/articles/clypj215wgpo|https://www.bbc.com/news/videos/cn7p2rd12pgo|https://www.bbc.com/news/articles/cn7p2yl8j73o|https://www.bbc.com/news/articles/c5yxpdlly5jo|https://www.bbc.com/news/articles/c4gvd81681qo
2026-05-13-court-overturns-alex-murdaugh-9a289ae5a9	2026-05-13T22:56:24.361048+00:00	Court overturns Alex Murdaugh’s murder convictions in deaths of wife, son - The Washington Post	https://www.washingtonpost.com/nation/2026/05/13/court-overturns-alex-murdaughs-murder-convictions-deaths-wife-son|https://apnews.com/article/murdaugh-killings-appeal-overturned-65a2ea0610bdb80763b39838ab4fcdb6|https://www.bbc.com/news/articles/cedpvnq7wn1o|https://www.nbcnews.com/video/shorts/court-overturns-alex-murdaugh-s-murder-conviction-263241797782|https://www.npr.org/2026/05/13/nx-s1-5719271/alex-murdaugh-murder-timeline-trial|https://www.nbcnews.com/now/video/court-overturns-alex-murdaugh-s-murder-convictions-and-orders-new-trial-263240773797|https://www.cbsnews.com/news/alex-murdaugh-murder-convictions-overturned-south-carolina-new-trial
2026-05-14-china-s-xi-warns-dc45ac4dfb	2026-05-14T13:12:19.815308+00:00	China's Xi warns Trump about "conflicts" if Taiwan isn't "handled properly" - CBS News	https://www.cbsnews.com/news/trump-xi-jinping-meeting-china-beijing-trade-tariffs-taiwan-iran|https://apnews.com/live/trump-administration-updates-05-14-2026|https://www.bbc.com/news/live/cvgz8qverzqt|https://www.cnbc.com/2026/05/14/trump-xi-beijing-summit-trade-taiwan-ai-iran-rare-earths-tariffs.html|https://www.reuters.com/world/trump-xi-summit-live-talks-beijing-include-iran-trade-taiwan-2026-05-14|https://www.nytimes.com/live/2026/05/13/world/trump-xi-summit-china|https://www.washingtonpost.com/politics/2026/05/14/trump-chinas-xi-hold-opening-session-two-day-summit
2026-05-14-el-ni-o-is-62e6abdb35	2026-05-14T18:10:12.181604+00:00	El Niño is coming faster than expected and chances are rising that it will be historically strong - CNN	https://www.cnn.com/2026/05/14/weather/super-el-nino-climate|https://www.bloomberg.com/news/articles/2026-05-14/el-nino-odds-rise-as-storm-and-crop-threats-intensify-globally|https://www.bbc.com/weather/articles/cvgzn11v421o|https://www.citizen-times.com/story/weather/2026/05/12/super-el-nio-ahead-for-the-carolinas-how-it-could-shape-weather/90040742007
2026-05-15-us-seeks-indictment-of-fc72a20be9	2026-05-15T13:10:09.000426+00:00	US seeks indictment of former Cuban leader Raul Castro - Al Jazeera	https://www.aljazeera.com/news/2026/5/15/us-seeks-indictment-of-former-cuban-leader-raul-castro|https://www.usatoday.com/story/news/world/2026/05/14/us-seeks-raul-castro-indictment-1996-cuba-plane-shootdown/90087810007|https://www.npr.org/2026/05/15/nx-s1-5823340/cia-director-john-ratcliffe-met-with-raul-castros-grandson-in-havana-us-and-cuban-officials-say
2026-05-15-south-carolina-governor-orders-136915f1cd	2026-05-15T18:04:27.858539+00:00	South Carolina governor orders special redistricting session after state senators defied Trump – US politics live - The Guardian	https://www.theguardian.com/world/live/2026/may/15/trump-china-visit-live-updates-xi-jinping-talks-meeting-summit-latest-news|https://www.reuters.com/legal/government/break-with-trump-republicans-south-carolina-senate-reject-redistricting-bid-2026-05-12|https://www.washingtonpost.com/opinions/2026/05/15/trump-redistricting-war-forces-south-carolina-surrender|https://apnews.com/article/redistricting-congress-voting-rights-trump-1ed6f8c68884b372efca79fbb50e343a|https://news.bgov.com/bloomberg-government-news/south-carolina-senate-blocks-trump-backed-redistricting-effort|https://www.nytimes.com/2026/05/12/us/south-carolina-shane-massey-redistricting.html|https://www.nbcnews.com/politics/2026-election/south-carolina-state-senate-rejects-effort-tackle-redistricting-pressu-rcna344815|https://www.cnn.com/2026/05/12/politics/south-carolina-redistricting-jim-clyburn
2026-05-16-this-republican-voted-to-bb7f7d9e53	2026-05-16T12:53:10.219448+00:00	This Republican voted to convict Trump. Now he's up for reelection. Can he survive? - NPR	https://www.npr.org/2026/05/16/nx-s1-5808979/louisiana-senate-cassidy-trump|https://www.bbc.com/news/articles/ckgpjqvjyz8o|https://www.nbcnews.com/politics/2026-election/sen-bill-cassidy-faces-louisiana-republican-primary-first-time-trump-i-rcna344476|https://www.washingtonpost.com/politics/2026/05/16/gop-senator-who-defied-trump-impeachment-faces-voters-five-years-later|https://www.cbsnews.com/news/gop-sen-cassidy-louisiana-primary-trump-challenger-letlow|https://abcnews.com/US/wireStory/sen-cassidy-battles-trump-backed-challenger-louisiana-republican-133025226|https://www.nytimes.com/2026/05/14/us/politics/war-powers-vote-house-trump-iran.html
2026-05-16-trump-says-islamic-state-d74882efa8	2026-05-16T17:50:30.593612+00:00	Trump says Islamic State group leader was killed in a joint US-Nigerian mission - AP News	https://apnews.com/article/trump-islamic-state-nigeria-almainuki-e05aaa1b7e07037b2de5954f335114d0|https://www.npr.org/2026/05/16/g-s1-122461/islamic-state-leader-killed|https://www.bbc.com/news/articles/cy72p2kpd03o|https://www.reuters.com/world/middle-east/trump-says-isis-second-command-abu-bilal-al-minuki-eliminated-2026-05-16|https://www.washingtonpost.com/world/2026/05/16/senior-isis-commander-killed-by-us-nigerian-forces-trump-says|https://www.nytimes.com/2026/05/16/world/africa/trump-isis-nigeria-al-minuki.html|https://www.nbcnews.com/politics/politics-news/trump-says-isis-second-command-killed-africa-rcna345430
